sentimen,komentar
negative,username tolol gak hubung nya gugur dgn pake hijab syar yg lo bilang bayi nya panas dalem gak hubung nya woyyyy otak jempol lo gak singkron sih ya nulis komentar
negative,geblek lo tatacowo bgt bain balikanhadewwntar tinggal lg nyalahin tuh cowopadahal kitenya yg oon
negative,kmrn mewek skr lengket lg duhhh labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk kualitas
negative,inti kesel att nya gausah anak kasi kembang psikis anak depan orang bener bener tolol skrg anda anak anak dikatain orang benci gimana asa benci tau batesnya nama manusia gaakan suka haters
negative,hadewwwww permpuan lgsakit jiwaknp yg jd peran utama film hantu jeruk purutky khabis stok artis ja
negative,pantesan tinggalin laki ya laki mikir kali perempuan kayagni ngurus aja gak becus gimana ngurus anak mending anak bapake nya aja bener didik
negative,biasa balajaer nyampah d ig artissuka yg ig bikin caption apakok balajaer yg heboh asik ceramahin yg igtar d bikinin lagu sm teh melly loh balajaer yg berjudulketika balajaer bersabdademi seonggak koin laknat nyabalajaer ngamuk iya banget koin laknat nya jd goda d rt nya gigiduh elah balajaer smua tau kale laku biduan lo kek apaminus segalanyalagi d bela matianpd sakit jiwa
negative,krn rakyat indonesia bodoh tdk beda yg yg buruk sdh tau prilaku buruk tdk tau sopan santun yg pilih jd panutan idola yg murah dr pd yg kelas ber etika
negative,ayu janda bego pny suami kpn nikah lagi
negative,anyiennnnggg suara ancur banget merdu tukang goreng
negative,syarat sah nikah agama islam 5 cpp cpw saksi wali nikah mas kawin mahar perkara makeup gak manglingi syarat sah nikah gak makeup syarat yg 5 penuh nikah sah yak emak emak julids
negative,cewek gatau nih ngerebut pacar org udh abang yg ngedukung sifat jelek lg ckck
negative,username eh situ kids jaman now ya banyak micin mna yg ngina bego pelihara
negative,jijik liat suer deh minceeee
negative,emang tabu cium gitu iya emang yg bikin eneg citra nya yg sok alim sok sok bijak sok sok yg lai anda citra sok alim sok suci serius
negative,yg jd 1 cium dpn org bnyk yg sih malu kecuali mgkn lg mabok jd gak malu teman helooow teman tdk libat cium bibir coba aja bayangin sanggup gak cium bibir ma teman lbh dr teman dasar laku kids jaman now yg emg bego krn banyak micin lho yah
negative,anjing nya ngamukhidup dmana pny musuhudh kliatan mna yg bukanorg ga pny byk musuh
negative,username ahhh jaga ucap lahh ucap ngk jaga dasar munafik dasar betina zaman now ellu kali yangg lebih micin loe otak loe selangkang paham moga tuhan ampunin munafik loe cun
negative,username yaa ampun upil naruto cermin klo yg pecunpengalaman banget lu yaa kesi gua prihatin mati aj deh lu ngotorin dunia manusia kau
negative,cuman jual goyang yak suara taik
negative,kasi ih nyari uang sampe segitunya
negative,anjir tonton yg mutu
negative,dlu inul goyang ngebor baju ketat dcekal hrs ny ni jg dg sgja goyang dada mulu suara ga sbrpa mrsk moral ank muda yg nnton bawa nafsu aja
negative,pnyanyi dangdut yg ga kelas bgini nih bukany nonjolin suara nonjolin dada
negative,najis najis udh homo aja org kaya gin musnah muka bumi
negative,haduuh orang gak akhlak bangeg asa kerja antem mulu musuh
negative,s lonte bkn sensasi ngjak ribut org mulu sampah
negative,kayak banci dh nenek pny cucu mw operasi mua top ttp aj klo asli ny g cantik dlm
negative,bagus kalo mingkem aja hahahahahaha jahat akuuu
negative,oplas permak tetep jelek pokok muka tegang kek banci udah sekian
negative,mending liat dek molen biarpun cowok tp cuantik gak kaya cewe tp kayak bencong wkwkwk
negative,bencong rombengmenjijikangay jg
negative,orang gila ken hitz cri tenar rela penjara cari sensasi settingan beken smpe hina org astagfirullah kaya sih org kaya mulut nya ky sampahga sekolah ya
negative,cowok anjing cuihhh orang kaya koar gua orang ping kaya seduniakarena orang tau klo orang kaya orang kaya malahn perilaku orang sederhana pamer kaya dunia akhirat mampus lu harta kagak bawa mati pants buang laut lu orang anehhh
negative,cari sensasi tenar trus banya folowers nya gak gt gt jg kalee darar orang tres ngomong aja belepotan gk gt kamfungan
negative,ngomong aja belepotan gaya lu bencong
negative,orang banyak makan taik ya giniotaknya udah penuh taik jdi gak berfikir positifdari bicara aja gak bermoraldasar kaum laknat banci anjing kbanyakan burit sih lo jdi stresmanusia ogah jumpa lo anjingcuma anjing yg ketemu lo taik
negative,sikat abiss lahh orng sial kaya gin pimpin negara gak hormatin jgn mentang president sembarangin marah gak hina pimpin harap tindak hukum orng
negative,jijik banget lihat tingkah si upil mudah cepat tidur
negative,edan nih orang udh makan uang rakyat tidur
negative,manusia laknat mati apain ya
negative,sakit otak hati mah udah gak nurani urat malu pajak loh ngegaji orang gila hormat
negative,anak babi bangsat ken sumpel timah panas congor lu biar modar
negative,ken sumpel timah panas congor si anak babi pesek buruk rupa
negative,hey anak bangsat babi pesek buruk rupa keritingpengen penggal leher lu sampe putuslumayan makan buaya
negative,ratu pelakor jagat raya mana lonte ya gak malu yg ngerasa lonte tolong malu dikit
negative,mahhhh temu buah ranum buah busuk dah tau yg busuk yg manah mentok mah gitu aja kalo pelakor
negative,ah manda mah gatel ga liyat cowo dikit lgsg sosor begok aje yg ama manda kegatelan cewe
negative,si amanda muka tante umur tp muka boros banget dasar cabe jujur gua mah kgk suka ama ni haltis
negative,astagah demen ama cewek dekil mel nagita turun att nagita kaya emas att kaya barlen
negative,alah laki laki jaman skrg sm aja bejat ustad kek kek gila bgt sm perempuan yg istri stju bgt sm yg blg ustazah username msuk surga bkan krna poligami msh bnyk yg bs jd akhlak bs masuk surga yaa smoga aja sih perempuan perempuan pelakor luar sna azab yg gak ampun hidup gk selamat dunia akhirat
negative,gilaaaaa pelakor bnget laki gatal alas poligam woiii mikir pake otak haduh pikir org pintar tau agama buruk allah uji setia nafsu eh kaya gtu sakit istri sja tutup pintu rejekimu anak istri kau korban sbg seorg imam keluarga gagal mmpertahankan rmh tangga coreng nama nya sndiri smua org suka skrg benci m
negative,biasa kalo pelakor lbh ancur muka istri sah barang bagus cepat laku pelakor jelek nggak laku ngembat laki orang ya udah gatel cocok wes username
negative,ilfil deh sm ni ertong caption ig story nya ngomongin org mlu org jd ambigu nilai si a si b si c udah gt kaya zholimi salahinnya lawan jgn ngmg status ah nya dewasa
negative,username pikir manusia bodoh eehhh tante ibu oma empo otak lu picik bngt ya jga manusi larang emang dunia orang larang ngungkapin unek stupid human
negative,heran deh yg ngatain si via baperan ya wajar dese baper udin muak orang yg munafik sok dese kabar yg baperan laki orang ga nyadar tuh puja att gotong royong nasehatin att gila muja att mojokin viaa dese manusia les ahh
negative,username yg komen via nyinyir mulu duh kyak gak nyinyirin orang aja parah kalo org sok bener mah gitu pdhal media sosial hak instagram instagram yg nyinyir gak pake ig s
negative,username pikir manusia bodoh eehhh tante ibu oma empo otak lu picik bngt ya jga manusi larang emang dunia orang larang ngungkapin unek stupid human
negative,username nya ngatain org nyindir netijen goblog banyak masyako
negative,username didik ortunya nagita bagus heran dg balajaer nagita yah yg rugi sm junjunganny knp yg benci bodoh bgt asli
negative,username pdhl km kampung lohpake kerudung mulut cuihh
negative,belajaer tuh ya hahahaha bela artis ampe begitu manusah begoh
negative,username iya norak kampyuung coba liat artis adem ayem liat isyana liat agnezmo liat mba liaaat liat aja coba telaah deh kasih tau contoh artis better eh jawab ya cocok la
negative,username gak sok high class mba liat komenmu artis beda mbak yg suka curhat ig yg curhat temen yg curhat tuhan ngak trus mulut situ maju otak mikirnya yg curh
negative,username goblok gak netizen yg kontra sm postingan si via bakajaer kali mba mas ih goblok piara lol
negative,sih emg artis ko artis indo ny ngurus prestasi sosmed ny mulu isi nya jd jatoh nya kampung
negative,username aj kn y mba kaya agnes mo bnyk harga ny tp g kampung beda am yg
negative,munafik bgt yg ngomong curhat sosmed kampung gua elu kitu keleusss wkkwkww mending mba via artis cantik bs nyanyi la elu lbh kampung wkwkwkwkw
